"idx","nome","categoria","subcategoria","grupoContabil","confianca"
"170","Azul Limpo Esverdeado","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"171","Lixa Hookit P500","Abrasivos e Polimento","Discos de lixa Hookit (orbital / velcro)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"172","Kit de Rodas","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","baixa"
"173","Combinada 8","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"174","Botina - 44","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"175","Abraçadeira Emborrachada","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"176","Adesivo","Plotagem e Adesivação","Vinil de recorte / adesivo colorido","PRODUTIVO › Adesivos / Máscara / Impressão","baixa"
"177","Caixa Luva Látex-G","EPI — Equipamentos de Proteção Individual","Proteção das mãos — luvas descartáveis","EPI","alta"
"178","Endurecedor P/ Spectra","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"179","Lixa Hookit P800","Abrasivos e Polimento","Discos de lixa Hookit (orbital / velcro)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"180","Abraçadeira Inox Fita","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"181","Carregador de Bateria","Ferramentas Elétricas/Pneumáticas e Equipamentos","Baterias e carregadores","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"182","Amarelo Alaranjado","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"183","Combinada Speedy 14","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"184","Suporte Reforçado","Peças, Fixação e Conexões","Mangueiras, conduletes e suportes (hidráulica/elétrica de parede)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"185","Laranja Limpo (UC264)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"186","Macho (UNC 5/16"")","Ferramentas Manuais e Medição","Ferramentas de corte/recorte e escovas","INVESTIMENTO › Internos (ativo durável)","media"
"187","Fita Led","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"188","Soquete Sextavado 32","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"189","Soquete Sextavado 11 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"190","Lamina Plotter","Plotagem e Adesivação","Equipamento e consumíveis de plotter","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"191","Bobina Filme Stretch","Mascaramento e Cobertura","Plástico e filme de cobertura","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"192","Engate Rapido Fêmea (SP-40)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"193","Bobina Papel Ondulado 25mts","Mascaramento e Cobertura","Papel e bobina de cobertura","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"194","Abraçadeira Inox Fita 57x76mm","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"195","Combinada 18","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"196","Combinada 6","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"197","Combinada 21","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"198","Combinada 20","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"199","Combinada 7","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"200","Endurecedor Pu (573.950)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"201","Combinada Catraca 8","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"202","Soquete Sextavado 17","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"203","Verde (AC178)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"204","Combinada Catraca 9","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"205","Abraçadeira Inox Fita 57x76mm 9mm","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"206","Laranja Orgânico (UC265)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"207","Cartão de Memória 128gb","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Informática / eletrônicos de apoio","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"208","Serra Marmore","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas elétricas de abrasão e acabamento","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"209","Vermelho Pleno (UC289)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"210","Combinada 22","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"211","Galocha - 45","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"212","Sacola Plástica","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Higiene e limpeza/zeladoria","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","baixa"
"213","Calça - 38","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"214","Soquete Sextavado 15","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"215","Combinada 32","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"216","Bermuda - 38","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"217","Bermuda - 40","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"218","Kit Bateria 4,0ah","Ferramentas Elétricas/Pneumáticas e Equipamentos","Baterias e carregadores","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"219","Pigmento Fluorescente Amarelo (Saturn)","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","media"
"220","Pacote Pincel de Retoque C/50","Aplicadores e Auxiliares de Mistura","Pincéis e pincéis de retoque","PRODUTIVO › Consumíveis de aplicação","alta"
"221","Espaguete Termoretratil","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","baixa"
"222","Baterias 3,0ah","Ferramentas Elétricas/Pneumáticas e Equipamentos","Baterias e carregadores","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"223","Abraçadeira Inox Fita 32x44mm","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"224","Xirallic Gold (UC604)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"225","Pistola Pintura","Ferramentas Elétricas/Pneumáticas e Equipamentos","Pistolas de pintura e aerografia","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"226","Combinada 15","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"227","Calça - 36","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"228","Lixa Hookit P40","Abrasivos e Polimento","Discos de lixa Hookit (orbital / velcro)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"229","Rolo anti respingo 9cm","Aplicadores e Auxiliares de Mistura","Rolos de pintura (capas e suportes)","PRODUTIVO › Consumíveis de aplicação","alta"
"230","Trava Porta Macho","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"231","Camisa - P","Uniforme / Fardamento","Uniforme — parte superior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"232","Pigmento Flourescente Verde (Saturn)","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","media"
"233","Solução Flexibilizante (509.080)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Aditivos e ajustes de mistura","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"234","Arame Galvanizado","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"235","Arduino Nano","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Informática / eletrônicos de apoio","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","baixa"
"236","Trava Porta Fêmea","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"237","Broca P/ Martelet","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"238","Combinada Speedy 13","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"239","Chave de Impacto (PRO-198)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"240","Bermuda - 44","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"241","Bermuda - 46","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"242","Bermuda - 48","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"243","Perolizado Bronze (UC607)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"244","Galocha - 46","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"245","Lixa Folha 600","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"246","Elemento Filtro de Ar","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"247","Xirallic Copper (UC613)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"248","Arame Recozido N°14","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"249","Filtro de Oleo","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"250","Bermuda - 36 (Gourmet)","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"251","Morsa (NA8)","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","media"
"252","Trena Dewalt","Ferramentas Manuais e Medição","Instrumentos de medição e alinhamento","INVESTIMENTO › Internos (ativo durável)","alta"
"253","Chapa Compensado Fenólico","Funilaria e Reparo de Carroceria","Laminação e fibra de vidro","PRODUTIVO › Massas","baixa"
"254","Endurecedor Pu (573.009)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Endurecedores e catalisadores","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"255","Bermuda - 42 (Gourmet)","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"256","Elemento Separador Ar/oleo","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"257","Trena 8m","Ferramentas Manuais e Medição","Instrumentos de medição e alinhamento","INVESTIMENTO › Internos (ativo durável)","alta"
"258","Conjunto Mancal Extremidade","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"259","Conjunto Mancal Intermediário","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"260","Fita Crepe Uso Geral (PR539 Farben)","Mascaramento e Cobertura","Fita crepe / fita de mascaramento","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"261","Conjunto Mancal Intermediário (2 Furos)","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"262","Massa Poliester (Farben)","Funilaria e Reparo de Carroceria","Massas de reparo (poliéster/plástica)","PRODUTIVO › Massas","alta"
"263","Botina Reposição - 44","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"264","Plotter de Recorte (PJK1351 Velve)","Plotagem e Adesivação","Equipamento e consumíveis de plotter","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"265","Vermelho Limpo (UC291)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"266","Abraçadeira Inox Fita 32x44 9mm","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"267","Hookit (PRO-406 Pdr)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas elétricas de abrasão e acabamento","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"268","Bateria 5.0ah","Ferramentas Elétricas/Pneumáticas e Equipamentos","Baterias e carregadores","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"269","Soquete Torx T-45","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"270","Wash Primer (045 Lazzuril)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"271","Xirallic Branco Cristal (UC614)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"272","Abraçadeira Inox Fita 9x13mm 9mm","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"273","Adapitador Boina Polimento (m14 Makita)","Abrasivos e Polimento","Suportes e bases de abrasivos","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"274","Mandril P/ Martelet","Peças, Fixação e Conexões","Peças de manutenção de equipamento (filtros, mancais, borrachas, gás)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","media"
"275","Arame Recozido N°18","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","baixa"
"276","Perolizado Verde (UC628)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"277","Intercap","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","media"
"278","Bandeija P/pintura","Aplicadores e Auxiliares de Mistura","Rolos de pintura (capas e suportes)","PRODUTIVO › Consumíveis de aplicação","media"
"279","Vinho Oxido (AC186)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"280","Combinada 17","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"281","Escada de Aluminio (30/degraus)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"282","Bermuda - 38","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"283","Bermuda - 40","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"284","Verniz Semi Brilho (D8117.11)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"285","Flexibilizante (509.080)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Aditivos e ajustes de mistura","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"286","Fita Crepe Uso Geral (423 Adere)","Mascaramento e Cobertura","Fita crepe / fita de mascaramento","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"287","Bermuda - 46","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"288","Botina - 45","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"289","Alicate Universal","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"290","Luva Redução","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"291","Conexão Te Galv","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"292","Camisa - EXG","Uniforme / Fardamento","Uniforme — parte superior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"293","Conexão Cotov 90°galv","Peças, Fixação e Conexões","Conexões e redução (pneumática/hidráulica)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"294","Galocha - 44","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"295","Soquete Hexagonal 6","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"296","Aplicador Calafetador Pneumático (SGT-1013)","Aplicadores e Auxiliares de Mistura","Aplicadores de selante (calafetadores)","PRODUTIVO › Consumíveis de aplicação","alta"
"297","Combinada Catraca 16","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"298","Combinada Articulada 11","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"299","Combinada Articulada 10","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"300","Bit T-27","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","media"
"301","Chave Philips Média","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"302","Motoesmiril 1,0cv/220v (MM-1001)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas elétricas de abrasão e acabamento","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"303","Macacão de Segurança","EPI — Equipamentos de Proteção Individual","Proteção visual, auditiva e corporal","EPI","alta"
"304","Calça - 46","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"305","Laranja Imp (UC292)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"306","Cinta Catraca P/marração (5T)","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","baixa"
"307","Amarelo Limão Imp (UC253)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"308","Perolizado Branco Graúdo (UC615)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"309","Combinada Articulada 12","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"310","Galocha - 40","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"311","Amarelo Ouro Imp (UC252)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"312","Saco de lixo 60 lts","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Higiene e limpeza/zeladoria","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"313","Soquete Sextavado 7 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"314","Xirallic Stellar Green (UC623)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"315","Suporte de Mangueira","Peças, Fixação e Conexões","Mangueiras, conduletes e suportes (hidráulica/elétrica de parede)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"316","Manguito - M","EPI — Equipamentos de Proteção Individual","Proteção visual, auditiva e corporal","EPI","alta"
"317","Estopa de Pano (1Kg)","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Higiene e limpeza/zeladoria","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","media"
"318","Alumínio Extra Fino Brilhante (UC652)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"319","Verniz Pu Acrilico Fosco (543.005)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"320","Luva de Vaqueta","EPI — Equipamentos de Proteção Individual","Proteção das mãos — luvas reutilizáveis","EPI","alta"
"321","Lixa Folha 220","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"322","Combinada Articulada 15","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"323","Soquete Sextavado 8 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"324","Soquete Sextavado 9 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"325","Pulverizador de Pressão (5L)","Aplicadores e Auxiliares de Mistura","Dosagem, transferência e filtragem","PRODUTIVO › Consumíveis de aplicação","baixa"
"326","Bateria 6.0ah (18v Makita)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Baterias e carregadores","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"327","Diluente Alta Temperatura (490)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Diluentes e thinners","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"328","Botina - 43","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"329","Par Protetor Auric. Auditivo (031)","EPI — Equipamentos de Proteção Individual","Proteção visual, auditiva e corporal","EPI","alta"
"330","Camiseta","Uniforme / Fardamento","Uniforme — parte superior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"331","Camiseta","Uniforme / Fardamento","Uniforme — parte superior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"332","Alumínio Fino (UC650)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"333","Xirallic Radiant Red (UC611)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"334","Disco Flap (GR80 Tyrolit)","Abrasivos e Polimento","Discos de desbaste e corte (esmerilhadeira)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"335","Boné Cinza e Verde","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Cortesia / brindes (pós-venda)","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"336","Alumínio Fino Limpo (UC653)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"337","Combinada Catraca 17","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"338","Chave Canhão 5","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"339","Lixadeira Orbital (3M 3/16in)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas elétricas de abrasão e acabamento","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
